pmid,pmcid,evidence_id,section,paragraph_number,citation_label,text,used_in_summary
15822487,6150570,E1,Abstract,1,"Abstract, para. 1","Lung cancer is the leading cause of cancer-related mortality. Since tobacco smoking is the cause in vast majority of cases, the incidence of lung cancer is expected to rise in those countries with high or rising incidence of tobacco smoking. Even though populations at risk of developing lung cancer are easily identified, mass screening for lung cancer is not supported by currently available evidence. In case of non-small cell lung cancer, a cure may be possible with surgical resection followed by post-operative chemotherapy in those diagnosed at an early stage. A small minority of patients who present with locally advanced disease may also benefit from pre-operative chemotherapy and/or radiation therapy to down stage the tumor to render is potentially operable. In a vast majority of patients, however, lung cancer presents at an advanced stage and a cure is not possible with currently available therapeutic strategies. Similarly, small cell lung cancer confined to one hemi-thorax may be curable with a combination of chemotherapy and thoracic irradiation followed by prophylactic cranial irradiation, if complete remission is achieved at the primary site. Small cell lung cancer that is spread beyond the confines of one hemi-thorax is, however, considered incurable. In this era of molecular targeted therapies, new agents are constantly undergoing pre-clinical and clinical testing with the aim of targeting the molecular pathways thought be involved in etiology and pathogenesis of lung cancer.",True
15822487,6150570,E2,Body,1,"Body, para. 1","The World Health Organization reported 6 million cancers worldwide in Year 2000. Lung cancer accounted for one million, one sixth of these, representing the most common cancer globally. 1 In the United States, one of the countries where accurate and consistent statistics are available, there will be an estimated 186 550 new lung cancers in Year 2004 with estimated 165 130 deaths. 2 Lung cancer accounts for 13% of all cancers in males and 12% of all cancers in females in the US. However, it is responsible for 32% and 25% of all cancer-related deaths in males and females, respectively, representing the largest single cause of smoking related mortality. 2 Despite major financial and research efforts of the past two decades, the five-year survival for lung cancer has remained constant at a dismal 14% in the Western world. 3 Only those presenting at an early stage appear to have a chance at cure.",True
15822487,6150570,E3,Body,2,"Body, para. 2","The age-specific incidence rate for lung cancer in Saudi Arabia is 25 per 100 000 population ( Figure 1 ). Lung cancer is the 4th most common cancer among males and 7th among females. 4 Considering the incidence of smoking in males, this number appears small and may represent a lag time between the increased incidence of smoking and the rise in the incidence of lung cancer. It is thus expected that in coming years lung cancer will represent a major public health problem in the Kingdom of Saudi Arabia. Concerted efforts are thus needed not only to educate the general public regarding the hazards of smoking and early symptoms and signs of the disease, but also health care providers to not only educate the public but also to diligently diagnose lung cancer at its early and potentially curable stage. This article will thus attempt to briefly analyze etiology, prevention, and screening strategies as well as new advances in management.",True
15822487,6150570,E4,Body,3,"Body, para. 3","Smoking is the major etiologic factor for lung cancer, with approximately 90% to 95% of new lung cancers resulting from active smoking. 5 , 6 Among non-smokers a quarter of lung cancers are caused by second hand smoke (passive smoking). 7 – 9 Since only 10% of the smokers develop lung cancer, other factors seem to play a part. 10 These might include the genetic make-up of an individual as well as other environmental insults such as asbestos exposure. Other etiologic factors include exposure to asbestos 11 or other environmental agents like silica, 12 beryllium, 13 nickel, 14 diesel exhaust, 15 or radon, 11 although the data regarding these, except for asbestos exposure are conflicting. Lung cancer starts with premalignant changes in the epithelium and develops from squamous metaplasia through carcinoma in situ to frank invasive cancer. 16 Environmental factors are thought to be critical in pathogenesis, although they may not be the sole cause.",True
15822487,6150570,E5,Body,4,"Body, para. 4","The World Health Organization divides lung malignancies into several different sub-types but for clinicians it may be divided into two broad categories, i.e. small cell and non-small cell lung cancers, the latter encompassing adenocarcinoma, squamous cell, large cell, and bronchoalveolar carcinomas.",False
15822487,6150570,E6,Body,5,"Body, para. 5","Lung cancer is one of the few cancers with a well-defined etiology—inhalation of tobacco smoke. In addition to first hand smoke, the United States Environmental Protection Agency has also identified passive (second hand) tobacco inhalation to be a carcinogen. At least 24 studies have identified second hand smoke as a risk factor for development of lung cancer, with a relative risk as high as 2-fold in some studies. 7 – 9 Clearly, cigarette smoking is the most prevalent environmental carcinogen and concerted efforts are required by governments as well as health care providers to support smoking cessation and prevention programs.",True
15822487,6150570,E7,Body,6,"Body, para. 6","Only 10% of all smokers develop lung cancer. Therefore, other factors play a part in the development of lung cancer in addition to tobacco smoke. An individual’s genetic susceptibility to the carcinogens present in tobacco smoke may be one such factor. 17 Investigators have identified several enzymatic pathways that may be involved in activation, degradation of carcinogens, and subsequent DNA repair. 18 Members of cytochrome P450, 19 – 22 glutathione S-transferase, 23 – 25 epoxide hydrolase, 26 and N-acetyltransferase 25 , 27 , 28 are involved in activation and degradation of certain carcinogens found in tobacco smoke. Genes encoding these enzymes may display deletions, mutations, or polymorphisms, thereby affecting the enzyme’s activity.",False
15822487,6150570,E8,Body,7,"Body, para. 7","Certain dietary components have also been linked to an increased risk of lung cancer. 29 , 30 The carotenoids were the first such group identified to have an inverse correlation with lung cancer risk. 31 Several epidemiologic studies have suggested that individuals with diets low in beta-carotene have a higher risk of developing lung cancer. 30 , 32 , 33 Other dietary micronutrients like flavonoids 34 and isothiocyanates 35 , 36 have also been suggested to have inverse correlation with lung cancer risk.",False
15822487,6150570,E9,Body,8,"Body, para. 8","Chemoprevention is an area of intense investigation. Research to date has focused on two separate classes of agents, i.e. dietary micronutrients or their synthetic analogues, and synthetic agents such as NSAIDs. 37 Retinoids have been extensively studied in this regard. One of the first studies to report positive results showed a statistically significant decrease in the incidence of second tobacco-related malignancies (head and neck, lung, esophagus) in those diagnosed with squamous cell carcinoma of head and neck and treated with cis-retinoic acid. 38 A US intergroup trial studied 13-cis retinoic acid in patients with resected stage I lung cancer and found an increase in the death rate among those on supplementation. 39 It also found an increased death rate among those who continued to smoke. 39 13-cis retinoic acid has also been found not to influence squamous metaplasia in another study. 40",False
15822487,6150570,E10,Body,9,"Body, para. 9","Beta-carotene as a lung cancer prevention agent has been reported in two large randomized trials–ATBC (alpha tocopherol beta carotene trial) 41 and CARET (carotene and retinol efficacy) trials. 42 Both of these trials found a detrimental effect of beta-carotene in individuals on supplemental beta-carotene, showing a higher risk of lung cancer. This harmful effect was increased in heavy smokers 41 , 42 and clearly established that beta-carotene is harmful in smokers. Other dietary supplements have been reported to have a beneficial effect on lung cancer risk and are currently being tested in randomized studies.",False
